ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Date_c,Year,Month,Day,Duration,month,year
AL061951,EASY,1951-09-04,600,,HU,16.9,-46.9,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-04,1951,9,4,6,9,1951
AL061951,EASY,1951-09-04,1200,,HU,17.2,-48.2,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-04,1951,9,4,6,9,1951
AL061951,EASY,1951-09-04,1800,,HU,17.8,-49.7,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-04,1951,9,4,6,9,1951
AL061951,EASY,1951-09-05,0,,HU,18.7,-51.3,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-05,1951,9,5,6,9,1951
AL061951,EASY,1951-09-05,600,,HU,19.7,-52.9,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-05,1951,9,5,6,9,1951
AL061951,EASY,1951-09-05,1200,,HU,20.6,-54.4,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-05,1951,9,5,6,9,1951
AL061951,EASY,1951-09-05,1800,,HU,21.2,-55.9,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-05,1951,9,5,6,9,1951
AL061951,EASY,1951-09-06,0,,HU,21.5,-57.4,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-06,1951,9,6,6,9,1951
AL061951,EASY,1951-09-06,600,,HU,21.9,-59.1,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-06,1951,9,6,6,9,1951
AL061951,EASY,1951-09-06,1200,,HU,22.3,-60.6,90,967,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-06,1951,9,6,6,9,1951
AL061951,EASY,1951-09-06,1800,,HU,22.6,-61.9,100,957,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-06,1951,9,6,6,9,1951
AL061951,EASY,1951-09-07,0,,HU,23.0,-63.2,110,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-07,1951,9,7,6,9,1951
AL061951,EASY,1951-09-07,600,,HU,23.6,-64.6,115,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-07,1951,9,7,6,9,1951
AL061951,EASY,1951-09-07,1200,,HU,24.5,-66.0,120,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-07,1951,9,7,6,9,1951
AL071951,FOX,1951-09-03,0,,TS,12.7,-21.8,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-03,1951,9,3,5,9,1951
AL071951,FOX,1951-09-03,600,,TS,12.8,-23.3,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-03,1951,9,3,5,9,1951
AL071951,FOX,1951-09-03,1200,,TS,13.0,-24.7,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-03,1951,9,3,5,9,1951
